date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-02-22 19:00:00,-2.7214285714285698,62.110714285714295,4.044285714285714,72.85714285714286,0.0,0.0,0.0
2018-02-22 20:00:00,-3.8,82.93733333333336,3.672000000000001,80.0,0.0,0.0,0.0
2018-02-22 21:00:00,-3.70625,87.265,3.3131250000000008,88.125,0.0,0.0,0.0
2018-02-22 22:00:00,-3.25625,86.0675,2.7331250000000007,78.0,0.0,0.0,0.0
2018-02-22 23:00:00,-3.984615384615384,92.62384615384615,1.66,67.69230769230771,0.0,0.0,0.0
2018-02-23 00:00:00,-3.9818181818181815,92.60454545454546,1.9181818181818184,64.54545454545455,0.0,0.0,0.0
2018-02-23 01:00:00,-3.9705882352941178,92.52705882352942,1.9376470588235293,67.05882352941177,0.0,0.0,0.0
2018-02-23 02:00:00,-3.971428571428572,92.53285714285713,1.5799999999999998,61.42857142857143,0.0,0.0,0.0
2018-02-23 03:00:00,-3.891666666666666,92.0,1.3266666666666664,58.33333333333334,0.0,0.0,0.0
2018-02-23 04:00:00,-3.0500000000000003,88.0525,0.3,13.333333333333336,0.0,0.0,0.0
2018-02-23 05:00:00,-3.08,89.62599999999998,0.10266666666666667,15.333333333333336,0.0,0.0,0.0
2018-02-23 06:00:00,-3.025,92.72999999999998,1.1983333333333333,204.16666666666663,0.0,0.0,0.0
2018-02-23 07:00:00,-3.0500000000000003,90.08,2.2291666666666665,266.6666666666667,0.0,0.0,0.0
2018-02-23 08:00:00,-3.0545454545454547,85.46545454545453,3.93,267.27272727272725,10.5,4.0,10.5
2018-02-23 09:00:00,-3.027272727272727,79.84727272727272,5.329999999999999,275.45454545454544,64.5,2.0,64.0
2018-02-23 10:00:00,-2.98,78.031,5.452000000000001,283.0,276.5,529.5,88.0
2018-02-23 11:00:00,-2.5571428571428574,72.48357142857142,5.034285714285715,279.2857142857143,405.0,615.5,120.5
2018-02-23 12:00:00,-2.018181818181818,68.55636363636363,5.237272727272729,280.90909090909093,389.0,327.0,212.5
